"SubID","EffLvl","IsRewarded","EfficacyProbeResp","RewRateProbeResp"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.075000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.608333333"
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","NoReward","0.166666667",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.583333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward","0.075000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.516666667"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.183333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"1.000000000"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward","0.375000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.550000000"
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.508333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.466666667"
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.116666667",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,"0.475000000"
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.258333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.833333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.783333333",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.833333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.183333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.858333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward","0.508333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.833333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.475000000"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.125000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.225000000"
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.975000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.866666667"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.975000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.975000000"
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.650000000",NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.541666667"
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","NoReward","0.108333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.633333333"
"1042","NoEfficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.091666667",NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,"0.658333333"
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward",NA,NA
"1042","NoEfficacy","NoReward","0.125000000",NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,"0.725000000"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.141666667",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"0.750000000"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.908333333",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.841666667"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.800000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,"1.000000000"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","1.000000000",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","NoReward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.891666667"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","NoReward","0.725000000",NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.975000000"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","NoReward","0.916666667",NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.958333333"
"1042","NoEfficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward","0.925000000",NA
"1042","Efficacy","NoReward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,NA
"1042","NoEfficacy","Reward",NA,"0.925000000"
"1042","Efficacy","Reward",NA,NA
"1042","Efficacy","Reward",NA,NA
"1042","NoEfficacy","Reward","0.966666667",NA
