"subj_idx","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev"
8,1,0.654,"incongruent",0.0883600799578965,-0.114860656421451
8,1,0.677,"incongruent",0.0883600799578965,-0.114860656421451
8,1,0.734,"incongruent",0.0883600799578965,-0.114860656421451
8,1,0.654,"congruent",0.0883600799578965,-0.114860656421451
8,1,0.711,"congruent",0.108024905001141,-0.0180166148598276
8,1,0.644,"incongruent",0.108024905001141,-0.0180166148598276
8,1,0.575,"congruent",0.108024905001141,-0.0180166148598276
8,1,0.779,"incongruent",0.0458373241042801,0.0593220682908693
8,1,0.567,"congruent",0.0458373241042801,0.0593220682908693
8,1,0.575,"congruent",0.0458373241042801,0.0593220682908693
8,1,0.563,"congruent",-0.0606954295846158,-0.0151501381267019
8,1,0.713,"incongruent",-0.0606954295846158,-0.0151501381267019
8,0,0.616,"incongruent",-0.0606954295846158,-0.0151501381267019
8,1,0.655,"congruent",-0.0673065322689286,-0.0721027579845396
8,1,0.578,"incongruent",-0.0673065322689286,-0.0721027579845396
8,1,0.76,"congruent",-0.0673065322689286,-0.0721027579845396
8,1,0.648,"incongruent",-0.0673065322689286,-0.0721027579845396
8,1,0.586,"incongruent",-0.00697052004980243,-0.115657274020821
8,1,0.499,"congruent",-0.00697052004980243,-0.115657274020821
8,1,0.512,"congruent",-0.00697052004980243,-0.115657274020821
8,1,0.694,"congruent",-0.00697052004980243,-0.115657274020821
8,1,0.675,"incongruent",-0.00697052004980243,-0.115657274020821
8,1,0.619,"congruent",0.0804057235669108,-0.0186527857085084
8,1,0.867,"incongruent",0.0804057235669108,-0.0186527857085084
8,1,0.536,"incongruent",0.0804057235669108,-0.0186527857085084
8,1,0.768,"incongruent",0.0804057235669108,-0.0186527857085084
8,1,0.531,"congruent",0.0804057235669108,-0.0186527857085084
8,1,0.617,"congruent",0.0804057235669108,-0.0186527857085084
8,1,0.688,"incongruent",0.175616063024133,0.0588140286128213
8,1,0.628,"congruent",0.175616063024133,0.0588140286128213
8,1,0.587,"congruent",0.175616063024133,0.0588140286128213
8,1,0.753,"incongruent",0.058749073704768,-0.0155386614704892
8,1,0.523,"congruent",0.058749073704768,-0.0155386614704892
8,1,0.629,"incongruent",0.0127929516369322,-0.0723998812117008
8,0,0.574,"incongruent",0.0127929516369322,-0.0723998812117008
8,1,0.713,"congruent",0.0127929516369322,-0.0723998812117008
8,1,0.67,"congruent",-0.0180252238217585,-0.115884499008792
8,1,0.925,"incongruent",-0.0180252238217585,-0.115884499008792
8,1,0.635,"congruent",-0.0180252238217585,-0.115884499008792
8,1,0.644,"incongruent",-0.0180252238217585,-0.115884499008792
8,1,0.59,"congruent",0.0772029547900997,-0.149139360469118
8,1,0.625,"incongruent",0.0772029547900997,-0.149139360469118
8,1,0.719,"congruent",0.0772029547900997,-0.149139360469118
8,1,0.618,"incongruent",0.0772029547900997,-0.149139360469118
8,1,0.697,"congruent",0.0772029547900997,-0.149139360469118
8,1,0.664,"incongruent",0.0772029547900997,-0.149139360469118
8,1,0.576,"congruent",0.104792462697527,-0.174571015770902
8,1,0.668,"incongruent",0.104792462697527,-0.174571015770902
8,1,0.665,"congruent",0.104792462697527,-0.174571015770902
8,1,0.665,"incongruent",0.104792462697527,-0.174571015770902
8,1,0.699,"incongruent",0.104792462697527,-0.174571015770902
8,1,0.583,"congruent",0.112785694928467,-0.065700710732706
8,1,0.817,"incongruent",0.112785694928467,-0.065700710732706
8,1,0.827,"incongruent",0.0166150288598145,0.0212420261677473
8,1,0.666,"congruent",0.0166150288598145,0.0212420261677473
8,1,0.864,"incongruent",-0.047877019805824,0.0906736264290803
8,1,0.654,"congruent",-0.047877019805824,0.0906736264290803
8,1,0.639,"congruent",-0.047877019805824,0.0906736264290803
8,1,0.605,"incongruent",-0.047877019805824,0.0906736264290803
8,1,0.735,"incongruent",-0.00134140169899177,0.00882596595949488
8,1,1.191,"congruent",-0.00134140169899177,0.00882596595949488
8,1,0.678,"congruent",0.0121408975789197,-0.0537670323846205
8,1,0.653,"incongruent",0.0121408975789197,-0.0537670323846205
8,1,0.714,"congruent",0.0121408975789197,-0.0537670323846205
8,1,0.62,"incongruent",0.0121408975789197,-0.0537670323846205
8,1,0.619,"congruent",0.0121408975789197,-0.0537670323846205
8,1,0.538,"incongruent",0.0121408975789197,-0.0537670323846205
8,1,0.554,"congruent",0.155838377638892,0.0307721423597449
8,1,0.704,"incongruent",0.155838377638892,0.0307721423597449
8,1,0.589,"incongruent",0.155838377638892,0.0307721423597449
8,1,0.618,"congruent",0.155838377638892,0.0307721423597449
8,1,0.663,"incongruent",0.155838377638892,0.0307721423597449
8,1,0.642,"incongruent",0.155838377638892,0.0307721423597449
8,1,0.643,"incongruent",0.197470411561868,-0.0369836939825293
8,1,0.543,"congruent",0.197470411561868,-0.0369836939825293
8,1,0.669,"congruent",0.197470411561868,-0.0369836939825293
8,1,0.692,"congruent",0.105819480803903,-0.0887999698252835
8,0,0.873,"incongruent",0.105819480803903,-0.0887999698252835
8,1,0.677,"incongruent",0.0119434856678818,-0.12842646677603
8,1,0.748,"congruent",0.0119434856678818,-0.12842646677603
8,1,0.668,"incongruent",0.0119434856678818,-0.12842646677603
8,1,0.696,"incongruent",0.0119434856678818,-0.12842646677603
8,1,0.63,"congruent",0.0159897951468503,-0.0288501353508907
8,0,0.593,"incongruent",0.0159897951468503,-0.0288501353508907
8,1,0.587,"incongruent",0.0159897951468503,-0.0288501353508907
8,1,0.68,"incongruent",0.0159897951468503,-0.0288501353508907
8,1,0.581,"congruent",-0.0158814205640074,0.0506705271619112
8,1,0.674,"incongruent",-0.0158814205640074,0.0506705271619112
8,1,0.617,"incongruent",-0.0158814205640074,0.0506705271619112
8,1,0.625,"incongruent",-0.0158814205640074,0.0506705271619112
8,1,0.815,"congruent",-0.0158814205640074,0.0506705271619112
8,1,0.589,"incongruent",-0.0158814205640074,0.0506705271619112
8,1,0.831,"incongruent",0.00792836331334732,-0.0217664042050727
8,1,0.553,"congruent",0.00792836331334732,-0.0217664042050727
8,1,0.678,"congruent",0.00792836331334732,-0.0217664042050727
8,1,0.719,"incongruent",0.00792836331334732,-0.0217664042050727
8,1,0.743,"incongruent",0.00792836331334732,-0.0217664042050727
8,1,0.673,"incongruent",0.0847222280548826,-0.0771625474679736
8,1,0.783,"congruent",0.0847222280548826,-0.0771625474679736
8,1,0.601,"congruent",-0.0022043320256114,0.01208871796933
8,1,0.666,"incongruent",-0.0022043320256114,0.01208871796933
8,1,0.523,"incongruent",-0.0022043320256114,0.01208871796933
8,1,0.611,"congruent",-0.0280824022458603,0.0833638860349062
8,1,0.632,"incongruent",-0.0280824022458603,0.0833638860349062
8,1,0.539,"congruent",-0.0280824022458603,0.0833638860349062
8,1,0.645,"incongruent",-0.0280824022458603,0.0833638860349062
8,1,0.591,"incongruent",0.00439349490048093,0.140283522500395
8,1,0.629,"congruent",0.00439349490048093,0.140283522500395
8,1,0.58,"congruent",0.00439349490048093,0.140283522500395
8,1,0.586,"incongruent",0.00439349490048093,0.140283522500395
8,1,0.585,"incongruent",0.00439349490048093,0.140283522500395
8,1,0.713,"incongruent",0.0836981059783069,0.185738974985369
8,1,0.638,"incongruent",0.0836981059783069,0.185738974985369
8,1,0.589,"incongruent",0.0836981059783069,0.185738974985369
8,1,0.659,"congruent",0.0836981059783069,0.185738974985369
8,1,0.837,"incongruent",0.106674237899775,0.0815271912679168
8,1,0.646,"congruent",0.106674237899775,0.0815271912679168
8,1,0.772,"incongruent",0.106674237899775,0.0815271912679168
8,1,0.729,"incongruent",0.106674237899775,0.0815271912679168
8,1,0.641,"congruent",0.106674237899775,0.0815271912679168
8,1,0.661,"incongruent",0.113330882840062,0.138816756426425
8,1,0.517,"congruent",0.113330882840062,0.138816756426425
8,1,0.704,"incongruent",0.113330882840062,0.138816756426425
8,1,0.811,"incongruent",0.0493955128430605,0.045643424624964
8,1,0.668,"congruent",0.0493955128430605,0.045643424624964
8,1,0.747,"incongruent",-0.0258944272466592,-0.0256108808702031
8,1,0.577,"congruent",-0.0258944272466592,-0.0256108808702031
8,1,0.603,"incongruent",-0.0258944272466592,-0.0256108808702031
8,1,0.745,"congruent",-0.0258944272466592,-0.0256108808702031
8,1,0.756,"incongruent",0.0749230891738375,-0.0801026109976321
