"subj_idx","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev"
6,1,0.779,"congruent",0.183586554278565,-0.311784237280746
6,1,0.87,"incongruent",0.183586554278565,-0.311784237280746
6,1,0.55,"congruent",0.183586554278565,-0.311784237280746
6,1,1.167,"incongruent",0.183586554278565,-0.311784237280746
6,1,0.502,"congruent",0.183586554278565,-0.311784237280746
6,1,0.579,"congruent",0.184203914879615,-0.109347383738527
6,1,0.807,"incongruent",0.184203914879615,-0.109347383738527
6,1,0.774,"incongruent",0.184203914879615,-0.109347383738527
6,1,0.79,"incongruent",0.184203914879615,-0.109347383738527
6,1,0.817,"incongruent",0.184406589062469,0.0226697859304965
6,1,0.622,"congruent",0.184406589062469,0.0226697859304965
6,1,0.687,"incongruent",0.178240720009722,0.108763462958453
6,1,0.47,"congruent",0.178240720009722,0.108763462958453
6,0,0.679,"incongruent",0.178240720009722,0.108763462958453
6,1,0.548,"congruent",0.176216492348655,-0.00217699901311723
6,0,1.038,"incongruent",0.176216492348655,-0.00217699901311723
6,1,0.966,"congruent",0.176216492348655,-0.00217699901311723
6,1,1.016,"congruent",0.174212303124473,-0.0850717121982747
6,1,1.118,"incongruent",0.174212303124473,-0.0850717121982747
6,1,0.719,"incongruent",0.174425013881334,-0.147010641890224
6,1,0.574,"congruent",0.174425013881334,-0.147010641890224
6,1,0.663,"incongruent",0.174425013881334,-0.147010641890224
6,1,0.751,"congruent",0.174425013881334,-0.147010641890224
6,1,0.679,"incongruent",0.174425013881334,-0.147010641890224
6,1,0.84,"incongruent",0.175051577249713,-0.00189193124055163
6,1,0.655,"congruent",0.175051577249713,-0.00189193124055163
6,1,0.735,"incongruent",0.175051577249713,-0.00189193124055163
6,1,0.711,"congruent",0.175051577249713,-0.00189193124055163
6,1,0.694,"congruent",0.175051577249713,-0.00189193124055163
6,1,0.682,"congruent",0.175677511235188,0.0927457847225259
6,1,0.617,"incongruent",0.173678657546743,-0.0141454081910022
6,1,0.502,"congruent",0.173678657546743,-0.0141454081910022
6,1,0.67,"incongruent",0.173678657546743,-0.0141454081910022
6,1,0.731,"incongruent",0.171699591110616,-0.0940145075359903
6,1,0.878,"congruent",0.171699591110616,-0.0940145075359903
6,1,0.542,"congruent",0.171699591110616,-0.0940145075359903
6,1,0.606,"incongruent",0.171699591110616,-0.0940145075359903
6,1,0.956,"incongruent",0.171914825886695,-0.153692698566566
6,1,0.911,"congruent",0.171914825886695,-0.153692698566566
6,1,0.806,"incongruent",0.171914825886695,-0.153692698566566
6,1,1.176,"incongruent",0.172543910738915,-0.198284242904611
6,1,0.558,"congruent",0.172543910738915,-0.198284242904611
6,1,0.622,"incongruent",0.172543910738915,-0.198284242904611
6,1,0.565,"incongruent",0.172543910738915,-0.198284242904611
6,1,0.846,"congruent",0.172543910738915,-0.198284242904611
6,1,0.574,"incongruent",0.172758297395927,-0.231603044833999
6,1,0.534,"congruent",0.172758297395927,-0.231603044833999
6,1,0.734,"congruent",0.172758297395927,-0.231603044833999
6,1,0.695,"incongruent",0.172758297395927,-0.231603044833999
6,1,0.839,"congruent",0.172758297395927,-0.231603044833999
6,1,1.45,"incongruent",0.173386534981016,-0.0570580208963048
6,1,0.527,"congruent",0.173386534981016,-0.0570580208963048
6,1,0.831,"congruent",0.167329756749637,0.056769771014423
6,1,0.695,"incongruent",0.167329756749637,0.056769771014423
6,0,0.581,"incongruent",0.161332936383004,0.131001427231085
6,1,0.886,"congruent",0.161332936383004,0.131001427231085
6,1,0.614,"incongruent",0.161332936383004,0.131001427231085
