session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status,Vision
60ef5fca0970b398491beffa,5df992d219232d7078b39f79,APPROVED,2021-07-14 22:08:31.927000,2021-07-14 23:23:53.393000,4521.466,28,205,0,100,2021-07-15 14:15:01.372000,2C95CFEE,United States,United States,Texas (TX),Other,Korean,United States,Male,No,Yes
60ef5ff2706ee62f589b317d,5c2c189b867f660001af5dc5,RETURNED,2021-07-14 22:06:44.841000,,59812.363234,28,981,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef60463e8eb231165e5f0e,5f9298dccf7c640320716541,APPROVED,2021-07-14 22:08:10.518000,2021-07-14 23:39:01.083000,5450.565,29,215,1,100,2021-07-15 14:15:03.169000,2C95CFEE,United States,United States,California (CA),Unemployed (and job seeking),English,United States,Male,No,Yes
60ef60a60342e7a4e179bc16,60ee922fcc2b54102d237822,APPROVED,2021-07-14 22:09:44.942000,2021-07-14 23:13:01.101000,3796.159,33,12,0,100,2021-07-15 14:15:04.931000,2C95CFEE,United States,United States,Nevada (NV),Unemployed (and job seeking),Spanish,United States,Male,No,Yes
60ef61fa1a4aa269d3676da6,60edb7015a9231789057bdea,RETURNED,2021-07-14 22:15:24.558000,,59292.705444,20,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef628e70ef072c9faa2557,5f5834134283933a1c3b42d0,APPROVED,2021-07-14 22:19:31.042000,2021-07-14 23:40:17.800000,4846.758,36,173,0,100,2021-07-15 14:15:06.096000,2C95CFEE,United States,United States,Ohio (OH),Other,English,United States,Male,No,Yes
60ef631975c29c068de9ba2e,55132578fdf99b1b0568bdb8,APPROVED,2021-07-14 22:20:09.808000,2021-07-14 23:24:54.771000,3884.963,31,926,7,99,2021-07-15 14:15:07.874000,2C95CFEE,United States,United States,Massachusetts (MA),DATA EXPIRED,English,United States,Female,No,Yes
60ef632e0a68ea517236fe8a,5e0840192b12bd16b02895cd,RETURNED,2021-07-14 22:20:32.623000,,58984.693293,30,556,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef661be9d1bc2c8d0358bd,5e336328b8f70533d5684501,APPROVED,2021-07-14 22:33:02.909000,2021-07-14 23:55:19.697000,4936.788,26,736,5,98,2021-07-15 14:15:11.503000,2C95CFEE,United States,United States,California (CA),DATA EXPIRED,English,United States,Male,DATA EXPIRED,Yes
60ef68334dcb7945b5aad0a9,60b2a242f9bac7e9f2220b93,APPROVED,2021-07-14 22:41:57.083000,2021-07-15 01:36:36.516000,10479.433,19,46,0,100,2021-07-15 14:15:14.202000,2C95CFEE,United States,United States,Texas (TX),Other,English,United States,Female,Yes,Yes
60ef6878120918d67f54c70e,60ede5209478ffea5da37779,APPROVED,2021-07-14 22:43:06.889000,2021-07-15 00:04:14.429000,4867.54,29,27,0,100,2021-07-15 14:15:15.657000,2C95CFEE,United States,United States,Pennsylvania (PA),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Yes,Yes
60ef85138eb2d3f38b80a279,60ea3690567f68655f83d0b5,APPROVED,2021-07-15 00:45:42.230000,2021-07-15 01:57:53.405000,4331.175,37,88,1,100,2021-07-15 14:15:16.783000,2C95CFEE,United States,United States,Pennsylvania (PA),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No,Yes
60ef88b1593f92218c2aa7ad,5e73a3e6a3a80a069b53bc93,RETURNED,2021-07-15 01:00:41.891000,,49375.51981,22,118,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60ef89b14c0e55c37a4d574c,5ee9201596dd421333942d06,APPROVED,2021-07-15 01:04:49.980000,2021-07-15 02:12:43.413000,4073.433,29,426,2,100,2021-07-15 14:15:18.339000,2C95CFEE,United States,United States,Virginia (VA),Full-Time,English,United States,Female,DATA EXPIRED,Yes
